종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","138800","-2200","-1.56","8.21645744E8"
"000660","SK하이닉스","756000","14000","1.89","5.50369788E8"
"207940","삼성바이오로직스","1885000","118000","6.68","8.7258443E7"
"373220","LG에너지솔루션","366000","-4500","-1.21","8.5644E7"
"005380","현대차","340500","-10000","-2.85","6.9720019E7"
"329180","HD현대중공업","582000","25000","4.49","6.1087433E7"
"402340","SK스퀘어","430500","1000","0.23","5.6863503E7"
"012450","한화에어로스페이스","1090000","80000","7.92","5.6204107E7"
"034020","두산에너빌리티","83700","-300","-0.36","5.3614968E7"
"068270","셀트리온","213000","2000","0.95","4.9194686E7"
"000270","기아","124900","-4400","-3.40","4.8762583E7"
"105560","KB금융","123500","-1200","-0.96","4.711057E7"
"028260","삼성물산","270500","5500","2.08","4.5978655E7"
"042660","한화오션","129700","8500","7.01","3.9741817E7"
"035420","NAVER","251000","-1500","-0.59","3.9370012E7"
"055550","신한지주","77500","-1500","-1.90","3.7625857E7"
"012330","현대모비스","391000","-1500","-0.38","3.547644E7"
"032830","삼성생명","159200","-2800","-1.73","3.184E7"
"015760","한국전력","49150","-450","-0.91","3.1552534E7"
"267260","HD현대일렉트릭","862000","41000","4.99","3.107263E7"
"009540","HD한국조선해양","424500","6500","1.56","3.0043188E7"
"086790","하나금융지주","91900","-1600","-1.71","2.5578142E7"
"035720","카카오","57800","-1500","-2.53","2.5572096E7"
"005490","POSCO홀딩스","300500","-7500","-2.44","2.4320352E7"
"010140","삼성중공업","26350","1000","3.94","2.3188E7"
"064350","현대로템","211000","8500","4.20","2.3029024E7"
"010130","고려아연","1203000","-36000","-2.91","2.2451893E7"
"051910","LG화학","315000","-4500","-1.41","2.2236588E7"
"006400","삼성SDI","271000","500","0.18","2.1838679E7"
"000810","삼성화재","471500","-14000","-2.88","2.169426E7"
"009150","삼성전기","272000","4500","1.68","2.0316685E7"
"034730","SK","279500","-2500","-0.89","2.0264505E7"
"316140","우리금융지주","27250","-500","-1.80","2.000358E7"
"011200","HMM","19960","30","0.15","1.882703E7"
"138040","메리츠금융지주","107600","1000","0.94","1.8853863E7"
"042700","한미반도체","185700","-800","-0.43","1.7699476E7"
"096770","SK이노베이션","102600","600","0.59","1.7344816E7"
"0126Z0","삼성에피스홀딩스","689000","-8000","-1.15","1.7144421E7"
"298040","효성중공업","1839000","14000","0.77","1.7147844E7"
"086280","현대글로비스","223500","5000","2.29","1.67625E7"
"033780","KT&G","142500","-700","-0.49","1.6811672E7"
"024110","기업은행","20300","-450","-2.17","1.6187745E7"
"006800","미래에셋증권","27650","-350","-1.25","1.5679921E7"
"003670","포스코퓨처엠","178500","-1500","-0.83","1.58769E7"
"267250","HD현대","196500","2900","1.50","1.5522141E7"
"066570","LG전자","92200","-100","-0.11","1.5018125E7"
"010120","LS ELECTRIC","482500","7000","1.47","1.4475E7"
"352820","하이브","335500","6500","1.98","1.4282458E7"
"047810","한국항공우주","142800","6700","4.92","1.3919445E7"
"018260","삼성에스디에스","175500","-2200","-1.24","1.3579804E7"
"030200","KT","51500","-900","-1.72","1.2979117E7"
"003550","LG","81400","-800","-0.97","1.2553637E7"
"000150","두산","759000","1000","0.13","1.2291121E7"
"079550","LIG넥스원","531000","41500","8.48","1.1682E7"
"017670","SK텔레콤","52800","-300","-0.56","1.1340915E7"
"272210","한화시스템","60300","1800","3.08","1.1391839E7"
"307950","현대오토에버","395000","500","0.13","1.0832473E7"
"259960","크래프톤","229500","-2500","-1.08","1.0879179E7"
